"ContactID Source","ContactID Match","Score","Accuracy"
"22","522","0.95","HIGH"
"281","781","0.907","HIGH"
"54","554","0.9417592133076005","HIGH"
"216","716","0.8857593984962406","MEDIUM"
"136","636","0.9354165189649061","HIGH"
"746","919","0.7962962962962963","LOW"
"104","604","0.9550000000000001","HIGH"
"433","933","0.8190849673202614","LOW"
"393","893","0.8975000000000002","MEDIUM"
"112","612","0.95","HIGH"
"473","973","1.0","HIGH"
"441","941","0.8234920634920635","LOW"
"361","861","0.9019999999999999","HIGH"
"30","530","0.9417592133076005","HIGH"
"273","773","0.8838140020898642","MEDIUM"
"804","919","0.8256172839506174","LOW"
"353","853","0.8985714285714286","MEDIUM"
"321","821","0.8838080076123556","MEDIUM"
"241","741","0.8878256704980843","MEDIUM"
"161","661","0.9475","HIGH"
"328","828","0.8716017316017316","MEDIUM"
"385","885","0.9","HIGH"
"193","693","0.952","HIGH"
"465","965","0.9738692810457517","HIGH"
"497","997","0.9760416666666667","HIGH"
"755","830","0.7799934596623901","LOW"
"86","586","0.9550000000000001","HIGH"
"248","748","0.9019999999999999","HIGH"
"29","529","0.9485714285714286","HIGH"
"168","668","0.9388939321548018","HIGH"
"184","684","0.9466666666666667","HIGH"
"297","797","0.8843380471380472","MEDIUM"
"448","948","0.8201115093588213","LOW"
"200","700","0.8734358974358976","MEDIUM"
"481","981","0.9844603653427183","HIGH"
"377","877","0.8857752247752249","MEDIUM"
"120","620","0.9550000000000001","HIGH"
"70","570","0.9406177248677249","HIGH"
"368","868","0.8885597769041098","MEDIUM"
"490","990","0.9716635338345865","HIGH"
"891","921","0.8400427350427351","LOW"
"37","537","0.9370265251989391","HIGH"
"618","903","0.762962962962963","LOW"
"344","844","0.8830487483530962","MEDIUM"
"264","764","0.8865213032581455","MEDIUM"
"224","724","0.905","HIGH"
"304","804","0.9035714285714285","HIGH"
"819","933","0.8116953852247969","LOW"
"5","505","0.9383080076123556","HIGH"
"370","870","0.8857878787878789","MEDIUM"
"144","644","0.9318185666185667","HIGH"
"46","546","0.9550000000000001","HIGH"
"94","594","0.9550000000000001","HIGH"
"424","924","0.8295598845598846","LOW"
"13","513","0.946787037037037","HIGH"
"288","788","0.8828281573498964","MEDIUM"
"153","653","0.9460000000000001","HIGH"
"457","957","1.0","HIGH"
"851","936","0.8386243386243386","LOW"
"450","950","0.9813095238095237","HIGH"
"313","813","0.8737734487734489","MEDIUM"
"233","733","0.8866666666666667","MEDIUM"
"290","790","0.8960714285714285","MEDIUM"
"135","635","0.9485714285714286","HIGH"
"330","830","0.9099999999999999","HIGH"
"384","884","0.8943939393939393","MEDIUM"
"249","749","0.8838339275103981","MEDIUM"
"474","974","0.9837210780574626","HIGH"
"113","613","0.933","HIGH"
"280","780","0.8847571783055654","MEDIUM"
"496","996","1.0","HIGH"
"87","587","0.9283849902534114","HIGH"
"167","667","0.95","HIGH"
"362","862","0.915","HIGH"
"145","645","0.9281291463954002","HIGH"
"635","924","0.7936868686868687","LOW"
"899","929","0.8156084656084657","LOW"
"813","926","0.79320987654321","LOW"
"409","909","0.815324074074074","LOW"
"465","932","0.7699382716049383","LOW"
"466","966","1.0","HIGH"
"217","717","0.8879653679653678","MEDIUM"
"127","627","0.95","HIGH"
"488","988","0.9750431331953071","HIGH"
"724","923","0.8328423120089786","LOW"
"105","605","0.9475","HIGH"
"239","739","0.9099999999999999","HIGH"
"911","969","0.7500000000000001","LOW"
"257","757","0.8884397515527951","MEDIUM"
"327","827","0.8819019607843138","MEDIUM"
"192","692","0.95","HIGH"
"729","921","0.8275925925925925","LOW"
"170","670","0.95","HIGH"
"31","531","0.95","HIGH"
"279","779","0.8918367816091954","MEDIUM"
"305","805","0.907","HIGH"
"439","939","0.8185525202766583","LOW"
"53","553","0.9378657513348589","HIGH"
"240","740","0.8906466165413534","MEDIUM"
"21","521","0.9251984126984126","HIGH"
"352","852","0.8760303030303032","MEDIUM"
"491","991","0.9848399931547874","HIGH"
"378","878","0.8777336523125996","MEDIUM"
"130","630","0.9332471380471381","HIGH"
"152","652","0.9328162116521248","HIGH"
"803","943","0.7574955908289241","LOW"
"530","842","0.7589269205642954","LOW"
"274","774","0.8723116883116884","MEDIUM"
"698","919","0.8120370370370371","LOW"
"263","763","0.8985714285714286","MEDIUM"
"724","940","0.8731762065095398","MEDIUM"
"296","796","0.8804104010025064","MEDIUM"
"480","980","0.9786935286935287","HIGH"
"14","514","0.928627450980392","HIGH"
"289","789","0.9019999999999999","HIGH"
"440","940","0.8416666666666668","LOW"
"456","956","0.9808333333333333","HIGH"
"451","951","1.0","HIGH"
"128","628","0.9324653607262302","HIGH"
"256","756","0.8797170462387853","MEDIUM"
"489","989","1.0","HIGH"
"234","734","0.8808508771929825","MEDIUM"
"69","569","0.9410298307357131","HIGH"
"312","812","0.88762324929972","MEDIUM"
"223","723","0.9019999999999999","HIGH"
"93","593","0.931896331738437","HIGH"
"185","685","0.9326666666666666","HIGH"
"47","547","0.9289285714285714","HIGH"
"201","701","0.8892605999664823","MEDIUM"
"345","845","0.8985714285714286","MEDIUM"
"36","536","0.9230303030303031","HIGH"
"71","571","0.9336466165413533","HIGH"
"367","867","0.8788067226890757","MEDIUM"
"225","918","0.7712525601638506","LOW"
"475","975","1.0","HIGH"
"146","646","0.9475","HIGH"
"383","883","0.8796031746031746","MEDIUM"
"318","818","0.8867645687645688","MEDIUM"
"178","678","0.9307826086956522","HIGH"
"920","976","0.7675000000000001","LOW"
"76","576","0.95","HIGH"
"291","791","0.8985714285714286","MEDIUM"
"102","602","0.9371574569221629","HIGH"
"4","504","0.9401574569221628","HIGH"
"126","626","0.95","HIGH"
"56","556","0.9300637254901961","HIGH"
"218","718","0.9","HIGH"
"455","955","1.0","HIGH"
"134","634","0.9233333333333335","HIGH"
"191","691","0.924","HIGH"
"423","923","0.8228114478114478","LOW"
"12","512","0.9277097902097902","HIGH"
"84","584","0.9389578392621871","HIGH"
"246","746","0.9019999999999999","HIGH"
"375","875","0.89197686244597","MEDIUM"
"418","918","0.8392857142857143","LOW"
"19","519","0.9274607843137254","HIGH"
"20","520","0.952","HIGH"
"582","913","0.817555190658639","LOW"
"64","564","0.93168657429527","HIGH"
"331","831","0.8960000000000001","MEDIUM"
"283","783","0.8844923371647511","MEDIUM"
"32","532","0.952","HIGH"
"226","726","0.8788278388278389","MEDIUM"
"92","592","0.9345952380952381","HIGH"
"211","711","0.881931287103701","MEDIUM"
"399","899","0.8794809042809042","MEDIUM"
"725","918","0.9444668458781362","HIGH"
"868","926","0.7800127713920816","LOW"
"28","528","0.9485714285714286","HIGH"
"567","924","0.7547534165181223","LOW"
"275","775","0.9019999999999999","HIGH"
"346","846","0.8905026278069755","MEDIUM"
"426","926","0.7656535947712418","LOW"
"355","855","0.9025000000000001","HIGH"
"48","548","0.952","HIGH"
"202","702","0.8806059351276743","MEDIUM"
"326","826","0.8886280451574569","MEDIUM"
"311","811","0.875292207792208","MEDIUM"
"162","662","0.9282536231884059","HIGH"
"231","731","0.9","HIGH"
"499","999","0.9709668803418804","HIGH"
"149","649","0.9290267379679144","HIGH"
"483","983","1.0","HIGH"
"402","902","0.8179267399267399","LOW"
"896","929","0.8130718954248367","LOW"
"299","799","0.8975000000000002","MEDIUM"
"35","535","0.9338939321548019","HIGH"
"111","611","0.9485714285714286","HIGH"
"118","618","0.952","HIGH"
"61","561","0.9365934065934066","HIGH"
"255","755","0.8844104010025063","MEDIUM"
"131","631","0.9460000000000001","HIGH"
"7","507","0.9225897435897435","HIGH"
"175","675","0.9376248366013072","HIGH"
"302","802","0.8855413533834586","MEDIUM"
"79","579","0.96","HIGH"
"33","533","0.95","HIGH"
"125","625","0.9485714285714286","HIGH"
"260","760","0.905","HIGH"
"747","914","0.8070214752567694","LOW"
"190","690","0.942991653418124","HIGH"
"147","647","0.9254917184265011","HIGH"
"282","782","0.9","HIGH"
"11","511","0.9225518341307815","HIGH"
"649","714","0.7543751803751804","LOW"
"169","669","0.952","HIGH"
"382","882","0.8784202898550724","MEDIUM"
"177","677","0.9381151457238414","HIGH"
"99","599","0.9274607843137254","HIGH"
"199","699","0.9332536231884058","HIGH"
"55","555","0.9292380952380952","HIGH"
"155","655","0.952","HIGH"
"319","819","0.9019999999999999","HIGH"
"77","577","0.952","HIGH"
"41","541","0.952","HIGH"
"203","703","0.9035714285714285","HIGH"
"332","832","0.8917634973721931","MEDIUM"
"225","725","0.8960714285714285","MEDIUM"
"310","810","0.8823854306612928","MEDIUM"
"419","919","0.8358695652173913","LOW"
"63","563","0.952","HIGH"
"90","590","0.952","HIGH"
"498","998","0.9756628787878787","HIGH"
"85","585","0.952","HIGH"
"247","747","0.9019999999999999","HIGH"
"476","976","1.0","HIGH"
"269","769","0.8819019607843138","MEDIUM"
"182","682","0.926187675070028","HIGH"
"454","954","0.979375","HIGH"
"726","949","0.785978835978836","LOW"
"732","939","0.8391077441077441","LOW"
"103","603","0.9485714285714286","HIGH"
"160","660","0.9303394383394383","HIGH"
"432","932","0.8342857142857142","LOW"
"254","754","0.8838047138047138","MEDIUM"
"469","969","1.0","HIGH"
"681","809","0.7512067421722594","LOW"
"49","549","0.9234022556390977","HIGH"
"119","619","0.9485714285714286","HIGH"
"232","732","0.9","HIGH"
"303","803","0.8960714285714285","MEDIUM"
"398","898","0.8811857421331105","MEDIUM"
"347","847","0.8975000000000002","MEDIUM"
"91","591","0.9245210084033613","HIGH"
"183","683","0.932595238095238","HIGH"
"210","710","0.907","HIGH"
"325","825","0.8805243669374103","MEDIUM"
"619","919","0.7547619047619047","LOW"
"40","540","0.952","HIGH"
"861","944","0.8380364491475603","LOW"
"369","869","0.8975000000000002","MEDIUM"
"376","876","0.9005714285714286","HIGH"
"62","562","0.9485714285714286","HIGH"
"27","527","0.9344923371647511","HIGH"
"354","854","0.9039999999999999","HIGH"
"696","904","0.7628645047762695","LOW"
"219","719","0.8868333333333334","MEDIUM"
"176","676","0.95","HIGH"
"198","698","0.95","HIGH"
"6","506","0.9248376623376624","HIGH"
"569","943","0.7552910052910052","LOW"
"154","654","0.9550000000000001","HIGH"
"913","978","0.7541666666666667","LOW"
"78","578","0.952","HIGH"
"360","860","0.8712185007974481","MEDIUM"
"110","610","0.9550000000000001","HIGH"
"748","828","0.7977873977873978","LOW"
"132","632","0.9263247863247862","HIGH"
"403","903","0.7557142857142858","LOW"
"460","960","0.971001221001221","HIGH"
"276","776","0.8882703703703705","MEDIUM"
"447","947","0.8333333333333334","LOW"
"298","798","0.8856666666666666","MEDIUM"
"482","982","1.0","HIGH"
"860","916","0.799074074074074","LOW"
"421","921","0.8450000000000001","LOW"
"453","953","0.9816570881226053","HIGH"
"98","598","0.95","HIGH"
"2","502","0.9297140286613971","HIGH"
"485","985","1.0","HIGH"
"373","873","0.8819108669108668","MEDIUM"
"124","624","0.95","HIGH"
"156","656","0.9485714285714286","HIGH"
"293","793","0.8960714285714285","MEDIUM"
"188","688","0.9283394383394384","HIGH"
"34","534","0.9335913362000319","HIGH"
"148","648","0.9361068580542264","HIGH"
"116","616","0.9550000000000001","HIGH"
"477","977","1.0","HIGH"
"66","566","0.95","HIGH"
"228","728","0.8641025641025643","MEDIUM"
"308","808","0.8960714285714285","MEDIUM"
"316","816","0.9005714285714286","HIGH"
"348","848","0.8819307359307359","MEDIUM"
"181","681","0.9388746579091407","HIGH"
"397","897","0.8787005749668289","MEDIUM"
"268","768","0.8836535541752933","MEDIUM"
"428","928","0.8083959899749374","LOW"
"74","574","0.9320314889788573","HIGH"
"236","736","0.8636666666666667","MEDIUM"
"10","510","0.952","HIGH"
"42","542","0.9393948717948717","HIGH"
"204","704","0.8864163614163616","MEDIUM"
"261","761","0.8921951107434978","MEDIUM"
"341","841","0.8985714285714286","MEDIUM"
"324","824","0.8877012987012988","MEDIUM"
"357","857","0.9025000000000001","HIGH"
"388","888","0.8770577178239718","MEDIUM"
"801","855","0.7615117760731795","LOW"
"470","970","0.9857430111734272","HIGH"
"17","517","0.952","HIGH"
"26","526","0.9188945868945868","HIGH"
"9","509","0.96","HIGH"
"253","753","0.9035714285714285","HIGH"
"589","948","0.7840047837135651","LOW"
"140","640","0.9316280451574569","HIGH"
"333","833","0.8898303891449053","MEDIUM"
"390","890","0.8751450216450216","MEDIUM"
"213","713","0.9019999999999999","HIGH"
"220","720","0.8839362508836193","MEDIUM"
"823","914","0.8141049382716049","LOW"
"173","673","0.95","HIGH"
"300","800","0.8781291463954002","MEDIUM"
"57","557","0.952","HIGH"
"413","913","0.8366666666666668","LOW"
"381","881","0.9039999999999999","HIGH"
"133","633","0.9348599033816425","HIGH"
"197","697","0.9280637254901961","HIGH"
"461","961","0.9805496894409937","HIGH"
"100","600","0.9360317460317461","HIGH"
"494","994","0.9844603653427183","HIGH"
"83","583","0.9328502673796791","HIGH"
"468","968","0.9828395278167368","HIGH"
"277","777","0.8920952380952383","MEDIUM"
"50","550","0.9220454545454546","HIGH"
"742","930","0.810405643738977","LOW"
"244","744","0.8821031746031747","MEDIUM"
"704","948","0.8389877641824249","LOW"
"107","607","0.952","HIGH"
"164","664","0.95","HIGH"
"157","657","0.9317619047619047","HIGH"
"227","727","0.9016666666666666","HIGH"
"65","565","0.9550000000000001","HIGH"
"97","597","0.9475","HIGH"
"189","689","0.9550000000000001","HIGH"
"270","770","0.9","HIGH"
"340","840","0.8960714285714285","MEDIUM"
"205","705","0.876481829573935","MEDIUM"
"309","809","0.8856367484367486","MEDIUM"
"801","875","0.7594333379670122","LOW"
"180","680","0.9218376623376624","HIGH"
"452","952","0.9829174093879977","HIGH"
"412","912","0.8342857142857142","LOW"
"575","754","0.7629337712096332","LOW"
"788","907","0.7957407407407407","LOW"
"123","623","0.9182336523125997","HIGH"
"613","909","0.7740740740740741","LOW"
"101","601","0.95","HIGH"
"484","984","0.9735347985347985","HIGH"
"292","792","0.8921891534391534","MEDIUM"
"262","762","0.8966666666666667","MEDIUM"
"252","752","0.8772575757575758","MEDIUM"
"396","896","0.8911397208456032","MEDIUM"
"749","910","0.7724867724867724","LOW"
"284","784","0.8897645687645689","MEDIUM"
"840","910","0.7883597883597884","LOW"
"230","730","0.8840655833699312","MEDIUM"
"18","518","0.9247320261437908","HIGH"
"374","874","0.8975000000000002","MEDIUM"
"339","839","0.8861654135338345","MEDIUM"
"43","543","0.925563725490196","HIGH"
"179","679","0.9466666666666667","HIGH"
"349","849","0.8828333333333334","MEDIUM"
"789","931","0.8011803011803011","LOW"
"3","503","0.9225518341307815","HIGH"
"317","817","0.8786604010025062","MEDIUM"
"75","575","0.9366666666666668","HIGH"
"141","641","0.924","HIGH"
"8","508","0.95","HIGH"
"60","560","0.9291017316017316","HIGH"
"389","889","0.9005714285714286","HIGH"
"174","674","0.9401261894305373","HIGH"
"608","744","0.7506687893427024","LOW"
"766","904","0.7654600301659125","LOW"
"163","663","0.9466666666666667","HIGH"
"285","785","0.8850005941770647","MEDIUM"
"438","938","0.8392857142857143","LOW"
"921","953","0.775","LOW"
"278","778","0.907","HIGH"
"467","967","0.9570601851851852","HIGH"
"267","767","0.905","HIGH"
"391","891","0.8792005749668288","MEDIUM"
"462","962","1.0","HIGH"
"380","880","0.907","HIGH"
"824","914","0.8149579831932773","LOW"
"478","978","0.9725796568627451","HIGH"
"117","617","0.9596324733824734","HIGH"
"245","745","0.8820345065562456","MEDIUM"
"106","606","0.9475","HIGH"
"301","801","0.8907703703703704","MEDIUM"
"807","917","0.8383838383838383","LOW"
"212","712","0.8985714285714286","MEDIUM"
"323","823","0.898","MEDIUM"
"58","558","0.9390352803396282","HIGH"
"139","639","0.9485714285714286","HIGH"
"196","696","0.9366604010025062","HIGH"
"334","834","0.8975000000000002","MEDIUM"
"82","582","0.9475","HIGH"
"767","930","0.8094135802469135","LOW"
"728","911","0.8086618876941457","LOW"
"921","968","0.7589285714285714","LOW"
"25","525","0.9316604010025064","HIGH"
"356","856","0.8829202898550725","MEDIUM"
"114","614","0.952","HIGH"
"351","851","0.8815000000000002","MEDIUM"
"701","901","0.8021442495126706","LOW"
"44","544","0.9384523809523809","HIGH"
"206","706","0.8768250517598343","MEDIUM"
"842","948","0.8189458545409604","LOW"
"271","771","0.8771743461217145","MEDIUM"
"158","658","0.952","HIGH"
"238","738","0.8829202898550725","MEDIUM"
"495","995","0.9792045454545455","HIGH"
"88","588","0.9263247863247862","HIGH"
"371","871","0.8985714285714286","MEDIUM"
"463","963","1.0","HIGH"
"923","940","0.8189534231200897","LOW"
"166","666","0.95","HIGH"
"343","843","0.8985714285714286","MEDIUM"
"52","552","0.9352425735184356","HIGH"
"251","751","0.8863636363636364","MEDIUM"
"214","714","0.8975000000000002","MEDIUM"
"338","838","0.8837826086956522","MEDIUM"
"295","795","0.9019999999999999","HIGH"
"96","596","0.95","HIGH"
"258","758","0.8960714285714285","MEDIUM"
"487","987","1.0","HIGH"
"395","895","0.8986666666666666","MEDIUM"
"171","671","0.922735294117647","HIGH"
"306","806","0.8810927318295739","MEDIUM"
"363","863","0.8864948717948717","MEDIUM"
"222","722","0.8856466165413535","MEDIUM"
"459","959","1.0","HIGH"
"195","695","0.9485714285714286","HIGH"
"335","835","0.8922593973283629","MEDIUM"
"736","801","0.8148741382074715","LOW"
"764","815","0.756602870813397","LOW"
"39","539","0.95","HIGH"
"492","992","1.0","HIGH"
"81","581","0.9353378116136737","HIGH"
"286","786","0.8985714285714286","MEDIUM"
"366","866","0.8876228956228956","MEDIUM"
"242","742","0.8933333333333333","MEDIUM"
"379","879","0.8845952380952381","MEDIUM"
"406","906","0.8208158508158508","LOW"
"322","822","0.8852067332309268","MEDIUM"
"59","559","0.95","HIGH"
"151","651","0.923116096866097","HIGH"
"315","815","0.8774945054945056","MEDIUM"
"109","609","0.9356228956228957","HIGH"
"235","735","0.9","HIGH"
"472","972","1.0","HIGH"
"122","622","0.9322343551726441","HIGH"
"138","638","0.9376248366013072","HIGH"
"918","956","0.7589285714285714","LOW"
"392","892","0.8811962651727357","MEDIUM"
"24","524","0.952","HIGH"
"229","729","0.8910317460317462","MEDIUM"
"15","515","0.9257509157509158","HIGH"
"72","572","0.9309489633173843","HIGH"
"479","979","1.0","HIGH"
"129","629","0.952","HIGH"
"500","1000","0.9812748845357541","HIGH"
"858","949","0.7714285714285714","LOW"
"919","999","0.7514285714285714","LOW"
"142","642","0.9359874517374518","HIGH"
"209","709","0.8971428571428571","MEDIUM"
"266","766","0.8872343551726442","MEDIUM"
"186","686","0.9261274509803922","HIGH"
"68","568","0.9343541404831728","HIGH"
"394","894","0.8895098978288634","MEDIUM"
"259","759","0.8960714285714285","MEDIUM"
"329","829","0.882187969924812","MEDIUM"
"464","964","0.9854498231653404","HIGH"
"115","615","0.9185858585858586","HIGH"
"420","920","0.7604395604395604","LOW"
"900","925","0.9383333333333334","HIGH"
"307","807","0.880235588972431","MEDIUM"
"45","545","0.95","HIGH"
"137","637","0.9308636363636363","HIGH"
"207","707","0.8838807453416149","MEDIUM"
"159","659","0.95","HIGH"
"372","872","0.8830542264752792","MEDIUM"
"23","523","0.9419926822403604","HIGH"
"350","850","0.9","HIGH"
"1","501","0.9370476190476189","HIGH"
"359","859","0.8890034482758621","MEDIUM"
"386","886","0.9019999999999999","HIGH"
"95","595","0.95","HIGH"
"744","811","0.761150218541523","LOW"
"337","837","0.8822318295739349","MEDIUM"
"150","650","0.9379172264517092","HIGH"
"364","864","0.8843636363636364","MEDIUM"
"250","750","0.9085714285714286","HIGH"
"786","903","0.8092592592592593","LOW"
"215","715","0.8682295482295483","MEDIUM"
"320","820","0.881187969924812","MEDIUM"
"272","772","0.8714358974358974","MEDIUM"
"342","842","0.8960714285714285","MEDIUM"
"823","824","0.7812720253793526","LOW"
"486","986","0.9741421568627451","HIGH"
"237","737","0.8975000000000002","MEDIUM"
"294","794","0.8759706959706961","MEDIUM"
"38","538","0.9348333333333333","HIGH"
"265","765","0.9039999999999999","HIGH"
"314","814","0.8833636363636364","MEDIUM"
"221","721","0.8985714285714286","MEDIUM"
"243","743","0.8832852332852333","MEDIUM"
"108","608","0.9386435291126366","HIGH"
"80","580","0.9550000000000001","HIGH"
"172","672","0.9273308270676692","HIGH"
"387","887","0.8960034482758621","MEDIUM"
"194","694","0.9485714285714286","HIGH"
"336","836","0.8866931918656057","MEDIUM"
"51","551","0.9254358974358976","HIGH"
"16","516","0.9074871794871795","HIGH"
"850","930","0.795679012345679","LOW"
"514","912","0.8626190476190475","MEDIUM"
"358","858","0.8838320285379109","MEDIUM"
"73","573","0.952","HIGH"
"365","865","0.9039999999999999","HIGH"
"187","687","0.9221581196581197","HIGH"
"208","708","0.9019999999999999","HIGH"
"67","567","0.9354104010025063","HIGH"
"143","643","0.9290954248366013","HIGH"
"89","589","0.9485714285714286","HIGH"
"165","665","0.9396324733824735","HIGH"
"471","971","0.9813095238095237","HIGH"
"121","621","0.9550000000000001","HIGH"
"414","914","0.8325","LOW"
"493","993","0.9691666666666667","HIGH"
"287","787","0.8995000000000001","MEDIUM"
"458","958","0.9760202645651562","HIGH"
"14","912","0.7792857142857144","LOW"
"436","936","0.7537698412698414","LOW"
"715","915","0.7950617283950617","LOW"
